index;disc_number;duration_ms;id;name;track_number;uri;album;duration_s;acousticness;danceability;energy;key;tempo;time_signature;valence;mode
5;1;234360;2aIutITgklpsnkA4Y8WbsI;Milonga del moro judio;6;spotify:track:2aIutITgklpsnkA4Y8WbsI;Eco;234.36;0.647;0.746;0.525;6.0;124.043;4.0;0.521;1.0
6;1;237373;4rmGhm0lMAfEcR9Jg9PitW;Polvo de estrellas;7;spotify:track:4rmGhm0lMAfEcR9Jg9PitW;Eco;237.37333;0.439;0.779;0.663;1.0;124.974;4.0;0.618;0.0
7;1;185306;08vRaQgh37YTRInTj3Bwpp;Se va, se va, se fue;8;spotify:track:08vRaQgh37YTRInTj3Bwpp;Eco;185.30667;0.427;0.927;0.498;7.0;108.016;4.0;0.887;0.0
8;1;235853;1FwGXG3B6RVgRPAZ6BVL59;Don de fluir;9;spotify:track:1FwGXG3B6RVgRPAZ6BVL59;Eco;235.85333;0.532;0.625;0.712;0.0;159.912;4.0;0.903;1.0
9;1;220573;7obc42ol4tvhEKFteAVemA;Fusion;10;spotify:track:7obc42ol4tvhEKFteAVemA;Eco;220.57333;0.533;0.631;0.607;11.0;124.072;4.0;0.358;0.0
10;1;272133;6oxGdDLyfL4ek2jCsEOlTN;Salvapantallas;11;spotify:track:6oxGdDLyfL4ek2jCsEOlTN;Eco;272.13333;0.723;0.707;0.326;11.0;133.009;4.0;0.512;1.0
0;1;186493;6XdcGRkINllNzoRiCEhLRR;Luna Negra;1;spotify:track:6XdcGRkINllNzoRiCEhLRR;Vaivén;186.49333;0.747;0.765;0.334;4.0;117.938;4.0;0.814;1.0
1;1;222040;23P8ZlzwSC9Fi9xIMUf4Qh;Cerca Del Mar;2;spotify:track:23P8ZlzwSC9Fi9xIMUf4Qh;Vaivén;222.04;0.603;0.749;0.391;7.0;96.035;4.0;0.351;1.0
2;1;163626;0s5XOAZxUEoHDQ2zWLeIvI;Tú;3;spotify:track:0s5XOAZxUEoHDQ2zWLeIvI;Vaivén;163.62667;0.904;0.549;0.0922;6.0;124.197;3.0;0.509;1.0
3;1;231440;04eTuT23xvrK5ruBBFLnM8;Era De Amar;4;spotify:track:04eTuT23xvrK5ruBBFLnM8;Vaivén;231.44;0.689;0.704;0.24;2.0;147.819;4.0;0.795;1.0
4;1;154026;3J8RALA7hIFWGRMG6SG0lb;730 Días;5;spotify:track:3J8RALA7hIFWGRMG6SG0lb;Vaivén;154.02667;0.91;0.595;0.0599;9.0;117.076;4.0;0.5;1.0
